Source,TimeFinished," On a scale of 1 to 10, how reasonable do you think the public reaction is to COVID-19 now? (1 is under-reacting and 10 is overreacting)","On a scale of 1 to 10, how much do you trust the government to respond to COVID-19 effectively? (1 is strongly distrust and 10 is strongly trust)"," ""COVID-19 has led me to drastically change my daily routines and the way I spend my day."" How much do you agree or disagree with this statement?", How many WEEKS do you think it'll take before your daily life returns to normal (like before COVID-19)? ," How are you doing financially today, compared to a year ago?"," Over the past week, have you been continually worried or anxious about a number of events or activities in your daily life?","In the past 3 days, did you work from home (WFH)?"," In the past 48 hours, I... (check all that apply)",,,,,,,,,,, Is any of your loved ones at higher risk of COVID-19? (check all that apply),,,,,What is your gender?,What is your annual household income?,What year were you born?,What is the zip code (i.e. postcal code) of the place you currently live in?,What country do you currently live in?,What is your employment status?,What is your ethnicity?,What industry are you part of?
Google2,3/20/2020 20:35:56,8,1,Strongly agree,6,About the same,Yes,"Yes, my employer/school made WFH mandatory",Shook hands with anyone outside of my household,,,"Rescheduled or canceled non-critical in-person gatherings and appointments (e.g. birthday parties, concerts, museums, annual checkups, spa, social dinners)",Rescheduled or canceled pre-arranged travel plans,Increased frequency of hand washing with soap,Cleaned surfaces with disinfecting wipes or sprays,,Maintained 3 feet distance between myself and other people outside of my household,Did not leave my home for non-critical needs,,No,,,,,Male,"Between $150,000 and $199,000",1989,94114,USA,Employed full-time,Caucasian,Research/ Science
Google2,3/20/2020 22:00:37,1,1,Agree,12,Somewhat worse,Yes,"Yes, my employer/school made WFH mandatory",,,,,,Increased frequency of hand washing with soap,Cleaned surfaces with disinfecting wipes or sprays,"Made an effort to avoid touching my eyes, nose and mouth",Maintained 3 feet distance between myself and other people outside of my household,,,,,"Yes, they live in areas affected by COVID-19 (parts of the USA, China, Italy, Korea, etc)",,"Yes, due to their age (60+)",Female,"More than $200,000",1989,94306,USA,Employed full-time,Asian/Asian American,"Computers (Hardware, software, internet)"
Google2,3/21/2020 7:57:26,3,8,Strongly agree,12,Significantly worse,No,"Yes, for other reasons",,,,"Rescheduled or canceled non-critical in-person gatherings and appointments (e.g. birthday parties, concerts, museums, annual checkups, spa, social dinners)",,Increased frequency of hand washing with soap,,"Made an effort to avoid touching my eyes, nose and mouth",,,,,,,"Yes, due to existing medical conditions (Diabetes, heart disease, lung disease)",,Male,"Between $100,000 and $124,999",1990,07024,USA,Employed full-time,Asian/Asian American,Education
Google2,3/21/2020 17:38:44,5,3,Neutral,25,About the same,No,"Yes, my employer/school made WFH mandatory",,,Attended in-person gatherings outside of my household,,Rescheduled or canceled pre-arranged travel plans,,,,Maintained 3 feet distance between myself and other people outside of my household,Did not leave my home for non-critical needs,,,,,"Yes, due to existing medical conditions (Diabetes, heart disease, lung disease)","Yes, due to their age (60+)",Female,"Between $75,000 and $99,999",1981,94304,USA,Employed full-time,Asian/Asian American,"Education, Research/ Science"
Google2,3/21/2020 18:13:39,3,6,Strongly agree,8,Somewhat better,Yes,"Yes, my employer/school made WFH mandatory",,,,"Rescheduled or canceled non-critical in-person gatherings and appointments (e.g. birthday parties, concerts, museums, annual checkups, spa, social dinners)",Rescheduled or canceled pre-arranged travel plans,Increased frequency of hand washing with soap,Cleaned surfaces with disinfecting wipes or sprays,"Made an effort to avoid touching my eyes, nose and mouth",Maintained 3 feet distance between myself and other people outside of my household,Did not leave my home for non-critical needs,,,,,"Yes, due to existing medical conditions (Diabetes, heart disease, lung disease)","Yes, due to their age (60+)",Male,"More than $200,000",1981,94025,USA,Employed full-time,Caucasian,"Computers (Hardware, software, internet), Research/ Science"
Google2,3/21/2020 18:28:02,7,7,Agree,8,Somewhat better,Yes,"No, for other reasons",,,,,,,Cleaned surfaces with disinfecting wipes or sprays,"Made an effort to avoid touching my eyes, nose and mouth",Maintained 3 feet distance between myself and other people outside of my household,,,,,,"Yes, due to existing medical conditions (Diabetes, heart disease, lung disease)","Yes, due to their age (60+)",Female,"More than $200,000",1981,94025,USA,Self-employed,Asian/Asian American,Food Services
Google2,3/21/2020 19:02:06,7,6,Agree,10,Somewhat worse,Yes,"No, I'm not employed or in school",,,,,,Increased frequency of hand washing with soap,,,,Did not leave my home for non-critical needs,,,,"Yes, they live in areas affected by COVID-19 (parts of the USA, China, Italy, Korea, etc)",,"Yes, due to their age (60+)",Male,"More than $200,000",1993,11374,USA,Student,Asian/Asian American,Medical/ Healthcare
Google2,3/21/2020 19:19:16,2,4,Strongly agree,12,Somewhat better,Yes,"Yes, my employer/school made WFH mandatory",,,,,,,,,,Did not leave my home for non-critical needs,,,,"Yes, they live in areas affected by COVID-19 (parts of the USA, China, Italy, Korea, etc)",,"Yes, due to their age (60+)",Male,"More than $200,000",1992,11101,USA,Employed full-time,Asian/Asian American,Legal Services
Google2,3/21/2020 19:47:55,3,2,Agree,12,About the same,Yes,"Yes, my employer/school gave an option to WFH",,,,"Rescheduled or canceled non-critical in-person gatherings and appointments (e.g. birthday parties, concerts, museums, annual checkups, spa, social dinners)",,Increased frequency of hand washing with soap,Cleaned surfaces with disinfecting wipes or sprays,"Made an effort to avoid touching my eyes, nose and mouth",Maintained 3 feet distance between myself and other people outside of my household,Did not leave my home for non-critical needs,,,,"Yes, they live in areas affected by COVID-19 (parts of the USA, China, Italy, Korea, etc)",,"Yes, due to their age (60+)",Female,"Between $150,000 and $199,000",1984,08820,USA,Employed full-time,Asian/Asian American,Education
Google2,3/21/2020 19:51:38,3,3,Strongly agree,7,Somewhat better,Yes,"Yes, my employer/school made WFH mandatory",,,,,,Increased frequency of hand washing with soap,Cleaned surfaces with disinfecting wipes or sprays,"Made an effort to avoid touching my eyes, nose and mouth",Maintained 3 feet distance between myself and other people outside of my household,Did not leave my home for non-critical needs,,No,,,,,Female,"Between $150,000 and $199,000",1988,11209,USA,Employed full-time,Asian/Asian American,Government/Public Administration
Google2,3/21/2020 19:54:04,6,5,Neutral,6,Somewhat better,Yes,"Yes, my employer/school gave an option to WFH",,,,,,Increased frequency of hand washing with soap,Cleaned surfaces with disinfecting wipes or sprays,"Made an effort to avoid touching my eyes, nose and mouth",,,,,,,,"Yes, due to their age (60+)",Female,"Between $100,000 and $124,999",1986,10314,USA,Employed full-time,"Asian/Asian American, Pacific Islander",Non-profit
Google2,3/21/2020 20:18:28,3,1,Strongly agree,16,About the same,Yes,"No, for other reasons",,,,"Rescheduled or canceled non-critical in-person gatherings and appointments (e.g. birthday parties, concerts, museums, annual checkups, spa, social dinners)",Rescheduled or canceled pre-arranged travel plans,Increased frequency of hand washing with soap,Cleaned surfaces with disinfecting wipes or sprays,"Made an effort to avoid touching my eyes, nose and mouth",Maintained 3 feet distance between myself and other people outside of my household,,,,,"Yes, they live in areas affected by COVID-19 (parts of the USA, China, Italy, Korea, etc)",,,Female,"Between $75,000 and $99,999",1992,63110,USA,Employed full-time,Asian/Asian American,Medical/ Healthcare
Google2,3/21/2020 20:18:50,1,1,Agree,4,About the same,Yes,I worked from home on some days,,,,,,Increased frequency of hand washing with soap,Cleaned surfaces with disinfecting wipes or sprays,"Made an effort to avoid touching my eyes, nose and mouth",Maintained 3 feet distance between myself and other people outside of my household,,,,,"Yes, they live in areas affected by COVID-19 (parts of the USA, China, Italy, Korea, etc)",,"Yes, due to their age (60+)",Male,"Between $100,000 and $124,999",1984,08820,USA,Employed full-time,Asian/Asian American,Accounting
Google2,3/21/2020 20:39:53,4,1,Agree,12,About the same,Yes,"Yes, for other reasons",,,,"Rescheduled or canceled non-critical in-person gatherings and appointments (e.g. birthday parties, concerts, museums, annual checkups, spa, social dinners)",,Increased frequency of hand washing with soap,Cleaned surfaces with disinfecting wipes or sprays,,Maintained 3 feet distance between myself and other people outside of my household,Did not leave my home for non-critical needs,,,,,"Yes, due to existing medical conditions (Diabetes, heart disease, lung disease)","Yes, due to their age (60+)",Female,"Between $75,000 and $99,999",1991,91205,USA,Self-employed,"Caucasian, Armenian",Arts/Entertainment/Recreation
Google2,3/21/2020 22:42:18,8,7,Strongly agree,7,About the same,Yes,"Yes, my employer/school made WFH mandatory",,,,"Rescheduled or canceled non-critical in-person gatherings and appointments (e.g. birthday parties, concerts, museums, annual checkups, spa, social dinners)",Rescheduled or canceled pre-arranged travel plans,Increased frequency of hand washing with soap,Cleaned surfaces with disinfecting wipes or sprays,"Made an effort to avoid touching my eyes, nose and mouth",Maintained 3 feet distance between myself and other people outside of my household,Did not leave my home for non-critical needs,,,,,"Yes, due to existing medical conditions (Diabetes, heart disease, lung disease)","Yes, due to their age (60+)",Female,"Between $100,000 and $124,999",2000,11229,USA,Student,Asian/Asian American,Education
Google2,3/22/2020 5:40:41,6,7,Strongly agree,16,Significantly better,Yes,"Yes, my employer/school made WFH mandatory",,,,,,,,,Maintained 3 feet distance between myself and other people outside of my household,,,No,,,,,Male,"More than $200,000",1991,10011,USA,Employed full-time,Asian/Asian American,"Computers (Hardware, software, internet)"
Google2,3/22/2020 6:18:30,3,3,Strongly agree,12,About the same,Yes,I worked from home on some days,,,,"Rescheduled or canceled non-critical in-person gatherings and appointments (e.g. birthday parties, concerts, museums, annual checkups, spa, social dinners)",Rescheduled or canceled pre-arranged travel plans,Increased frequency of hand washing with soap,Cleaned surfaces with disinfecting wipes or sprays,"Made an effort to avoid touching my eyes, nose and mouth",Maintained 3 feet distance between myself and other people outside of my household,Did not leave my home for non-critical needs,,,,"Yes, they live in areas affected by COVID-19 (parts of the USA, China, Italy, Korea, etc)",,,Female,"Between $50,000 and $74,999",1990,10016,USA,Employed full-time,Asian/Asian American,Medical/ Healthcare
Google2,3/22/2020 6:53:06,2,2,Agree,12,About the same,Yes,"Yes, my employer/school made WFH mandatory",,,,,,Increased frequency of hand washing with soap,Cleaned surfaces with disinfecting wipes or sprays,"Made an effort to avoid touching my eyes, nose and mouth",Maintained 3 feet distance between myself and other people outside of my household,Did not leave my home for non-critical needs,,,,,"Yes, due to existing medical conditions (Diabetes, heart disease, lung disease)","Yes, due to their age (60+)",Female,"Between $100,000 and $124,999",1987,11385,USA,Student,"Caucasian, Asian/Asian American",Arts/Entertainment/Recreation
Google2,3/22/2020 7:05:41,6,4,Agree,8,About the same,Yes,"Yes, my employer/school made WFH mandatory",,,,"Rescheduled or canceled non-critical in-person gatherings and appointments (e.g. birthday parties, concerts, museums, annual checkups, spa, social dinners)",Rescheduled or canceled pre-arranged travel plans,Increased frequency of hand washing with soap,,,,,,,,,,"Yes, due to their age (60+)",Female,Prefer not to say,1987,10021,USA,Employed full-time,Caucasian,Education
Google2,3/22/2020 7:46:14,4,1,Strongly agree,16,Somewhat worse,Yes,"Yes, my employer/school made WFH mandatory",,,,"Rescheduled or canceled non-critical in-person gatherings and appointments (e.g. birthday parties, concerts, museums, annual checkups, spa, social dinners)",,Increased frequency of hand washing with soap,Cleaned surfaces with disinfecting wipes or sprays,"Made an effort to avoid touching my eyes, nose and mouth",,,,,,,"Yes, due to existing medical conditions (Diabetes, heart disease, lung disease)","Yes, due to their age (60+)",Male,"Between $150,000 and $199,000",1988,11215,USA,Employed full-time,Asian/Asian American,Consulting
Google2,3/22/2020 10:06:05,2,3,Strongly agree,52,About the same,Yes,"Yes, for other reasons",,,,,,Increased frequency of hand washing with soap,Cleaned surfaces with disinfecting wipes or sprays,"Made an effort to avoid touching my eyes, nose and mouth",Maintained 3 feet distance between myself and other people outside of my household,Did not leave my home for non-critical needs,,,,"Yes, they live in areas affected by COVID-19 (parts of the USA, China, Italy, Korea, etc)",,"Yes, due to their age (60+)",Female,Prefer not to say,1990,98004,USA,Not employed,Caucasian,"Accounting, Advertising"
Google2,3/22/2020 10:14:23,6,8,Agree,8,About the same,Yes,"Yes, my employer/school made WFH mandatory",,,,,,Increased frequency of hand washing with soap,,,,Did not leave my home for non-critical needs,,,,,"Yes, due to existing medical conditions (Diabetes, heart disease, lung disease)","Yes, due to their age (60+)",Female,"Less than $25,000",1990,98011,USA,Student,Asian/Asian American,Medical/ Healthcare
Google2,3/22/2020 13:07:29,4,2,Strongly agree,12,Somewhat better,Yes,"Yes, my employer/school made WFH mandatory",,,,,,Increased frequency of hand washing with soap,Cleaned surfaces with disinfecting wipes or sprays,"Made an effort to avoid touching my eyes, nose and mouth",Maintained 3 feet distance between myself and other people outside of my household,Did not leave my home for non-critical needs,,,,,"Yes, due to existing medical conditions (Diabetes, heart disease, lung disease)","Yes, due to their age (60+)",Female,"Between $125,000 and $149,999",1988,10016,USA,Employed full-time,Asian/Asian American,Advertising
Google2,3/22/2020 13:19:16,8,5,Agree,4,About the same,No,I worked from home on some days,,,,,,Increased frequency of hand washing with soap,,,,Did not leave my home for non-critical needs,,,,,"Yes, due to existing medical conditions (Diabetes, heart disease, lung disease)","Yes, due to their age (60+)",Female,"Between $125,000 and $149,999",1971,91773,USA,Employed full-time,Asian/Asian American,"Computers (Hardware, software, internet)"
Google2,3/22/2020 21:39:42,3,7,Strongly agree,12,Somewhat better,Yes,"Yes, my employer/school made WFH mandatory",,,,,Rescheduled or canceled pre-arranged travel plans,Increased frequency of hand washing with soap,Cleaned surfaces with disinfecting wipes or sprays,,Maintained 3 feet distance between myself and other people outside of my household,Did not leave my home for non-critical needs,,,,"Yes, they live in areas affected by COVID-19 (parts of the USA, China, Italy, Korea, etc)",,"Yes, due to their age (60+)",Female,"More than $200,000",1988,94618,USA,Employed full-time,Caucasian,"Computers (Hardware, software, internet), Research/ Science"
Google2,3/23/2020 11:41:48,1,2,Strongly disagree,12,About the same,Yes,"Yes, my employer/school made WFH mandatory",,,,"Rescheduled or canceled non-critical in-person gatherings and appointments (e.g. birthday parties, concerts, museums, annual checkups, spa, social dinners)",,Increased frequency of hand washing with soap,Cleaned surfaces with disinfecting wipes or sprays,"Made an effort to avoid touching my eyes, nose and mouth",Maintained 3 feet distance between myself and other people outside of my household,Did not leave my home for non-critical needs,,,,,,"Yes, due to their age (60+)",Female,"More than $200,000",1992,10014,USA,Employed full-time,Asian/Asian American,Legal Services
Google2,3/23/2020 12:05:00,3,7,Strongly agree,10,Somewhat better,Yes,"Yes, my employer/school made WFH mandatory",,,,"Rescheduled or canceled non-critical in-person gatherings and appointments (e.g. birthday parties, concerts, museums, annual checkups, spa, social dinners)",,Increased frequency of hand washing with soap,Cleaned surfaces with disinfecting wipes or sprays,"Made an effort to avoid touching my eyes, nose and mouth",Maintained 3 feet distance between myself and other people outside of my household,Did not leave my home for non-critical needs,,,,,"Yes, due to existing medical conditions (Diabetes, heart disease, lung disease)","Yes, due to their age (60+)",Female,"Between $100,000 and $124,999",1984,10001,USA,Employed full-time,Asian/Asian American,Finance/Banking/Insurance
Google2,3/23/2020 14:48:29,4,2,Strongly agree,12,About the same,No,"Yes, my employer/school gave an option to WFH",,,,"Rescheduled or canceled non-critical in-person gatherings and appointments (e.g. birthday parties, concerts, museums, annual checkups, spa, social dinners)",,Increased frequency of hand washing with soap,Cleaned surfaces with disinfecting wipes or sprays,"Made an effort to avoid touching my eyes, nose and mouth",Maintained 3 feet distance between myself and other people outside of my household,Did not leave my home for non-critical needs,,,,"Yes, they live in areas affected by COVID-19 (parts of the USA, China, Italy, Korea, etc)",,,Male,"More than $200,000",1976,94107,USA,Employed full-time,Asian/Asian American,venture capital
Google1,3/15/2020 20:38:30,Agree,Agree,Agree,2,NR,NR,"No, my employer/school didn't provide an option for me to work from home",Shook hands with anyone outside of my household,,,,,,,"Made an effort to avoid touching my eyes, nose and mouth",,,,,,"Yes, they live in areas affected by COVID-19 (parts of the USA, China, Italy, Korea, etc)",,,Female,NR,1994,98075,USA,Employed part-time,Asian/Asian American,NR
Google1,3/15/2020 20:39:56,Disagree,Strongly disagree,Agree,2,NR,NR,"No, for other reasons",,,,,,,Cleaned surfaces with disinfecting wipes or sprays,"Made an effort to avoid touching my eyes, nose and mouth",,,,No,,,,,Male,NR,1996,02138,USA,Not employed,Asian/Asian American,NR
Google1,3/15/2020 23:12:17,Strongly disagree,Disagree,Agree,18,NR,NR,"Yes, for other reasons",Shook hands with anyone outside of my household,,,,,,,"Made an effort to avoid touching my eyes, nose and mouth",,,Ate at a restaurant,,,,,"Yes, due to their age (60+)",Male,NR,1984,94107,USA,Employed full-time,Asian/Asian American,NR
Google1,3/16/2020 0:07:16,Agree,Disagree,Disagree,2,NR,NR,"No, my employer/school didn't provide an option for me to work from home",,,,,,,Cleaned surfaces with disinfecting wipes or sprays,"Made an effort to avoid touching my eyes, nose and mouth",,,Ate at a restaurant,,,,,"Yes, due to their age (60+)",Female,NR,1992,94041,USA,Employed full-time,Prefer not to say,NR
Google1,3/16/2020 2:11:02,Strongly disagree,Disagree,Strongly agree,50,NR,NR,"No, my employer/school didn't provide an option to WFH",,Attended in-person gatherings of 50+ people,Attended in-person gatherings outside of my household,"Rescheduled or canceled non-critical in-person gatherings and appointments (e.g. birthday parties, concerts, museums, annual checkups, spa, social dinners)",Rescheduled or canceled pre-arranged travel plans,Increased frequency of hand washing with soap,,,,,Ate at a restaurant,No,,,,,Other,NR,1920,900,USA,Employed full-time,Asian/Asian American,NR
Google1,3/16/2020 5:10:33,Disagree,Neutral,Agree,10,NR,NR,"No, my employer/school didn't provide an option to WFH",,Attended in-person gatherings of 50+ people,Attended in-person gatherings outside of my household,,,Increased frequency of hand washing with soap,Cleaned surfaces with disinfecting wipes or sprays,,,,,,,,"Yes, due to existing medical conditions (Diabetes, heart disease, lung disease)","Yes, due to their age (60+)",Female,NR,1990,96826,USA,Employed full-time,"Caucasian, Asian",NR
Google1,3/16/2020 7:10:29,Disagree,Disagree,Agree,6,NR,NR,"Yes, my employer/school made WFH mandatory",,,,"Rescheduled or canceled non-critical in-person gatherings and appointments (e.g. birthday parties, concerts, museums, annual checkups, spa, social dinners)",,Increased frequency of hand washing with soap,Cleaned surfaces with disinfecting wipes or sprays,"Made an effort to avoid touching my eyes, nose and mouth",,Did not leave my home for non-critical needs,,,,"Yes, they live in areas affected by COVID-19 (parts of the USA, China, Italy, Korea, etc)","Yes, due to existing medical conditions (Diabetes, heart disease, lung disease)","Yes, due to their age (60+)",Female,NR,1991,39759,USA,Student,Asian/Asian American,NR
Google1,3/16/2020 7:25:30,Disagree,Disagree,Agree,12,NR,NR,"Yes, my employer/school gave an option to WFH",,,,,,Increased frequency of hand washing with soap,Cleaned surfaces with disinfecting wipes or sprays,"Made an effort to avoid touching my eyes, nose and mouth",Maintained 3 feet distance between myself and other people outside of my household,Did not leave my home for non-critical needs,,,,,,"Yes, due to their age (60+)",Female,NR,1990,22003,USA,Employed full-time,Caucasian,NR
Google1,3/16/2020 9:41:00,Strongly disagree,Disagree,Agree,10,NR,NR,"No, my employer/school didn't provide an option to WFH",,,,"Rescheduled or canceled non-critical in-person gatherings and appointments (e.g. birthday parties, concerts, museums, annual checkups, spa, social dinners)",,Increased frequency of hand washing with soap,Cleaned surfaces with disinfecting wipes or sprays,"Made an effort to avoid touching my eyes, nose and mouth",Maintained 3 feet distance between myself and other people outside of my household,Did not leave my home for non-critical needs,,,,,"Yes, due to existing medical conditions (Diabetes, heart disease, lung disease)","Yes, due to their age (60+)",Female,NR,1995,90025,USA,Employed part-time,Caucasian,NR
Google1,3/16/2020 9:46:02,Neutral,Disagree,Disagree,5,NR,NR,"No, my employer/school didn't provide an option to WFH",,Attended in-person gatherings of 50+ people,Attended in-person gatherings outside of my household,,,Increased frequency of hand washing with soap,Cleaned surfaces with disinfecting wipes or sprays,"Made an effort to avoid touching my eyes, nose and mouth",,,,,,"Yes, they live in areas affected by COVID-19 (parts of the USA, China, Italy, Korea, etc)",,,Female,NR,1992,91406,USA,Employed full-time,Asian/Asian American,NR
Google1,3/16/2020 9:49:18,Disagree,Disagree,Agree,12,NR,NR,"Yes, my employer/school made WFH mandatory",Shook hands with anyone outside of my household,,Attended in-person gatherings outside of my household,"Rescheduled or canceled non-critical in-person gatherings and appointments (e.g. birthday parties, concerts, museums, annual checkups, spa, social dinners)",Rescheduled or canceled pre-arranged travel plans,Increased frequency of hand washing with soap,,"Made an effort to avoid touching my eyes, nose and mouth",,,Ate at a restaurant,,,,"Yes, due to existing medical conditions (Diabetes, heart disease, lung disease)",,Male,NR,1993,02111,USA,Student,"Asian/Asian American, Other",NR
Google1,3/16/2020 10:10:19,Strongly disagree,Strongly disagree,Strongly agree,8,NR,NR,"Yes, my employer/school made WFH mandatory",,,Attended in-person gatherings outside of my household,,,,,,,,,,,"Yes, they live in areas affected by COVID-19 (parts of the USA, China, Italy, Korea, etc)","Yes, due to existing medical conditions (Diabetes, heart disease, lung disease)","Yes, due to their age (60+)",Female,NR,1994,94553,USA,Employed part-time,Other,NR
Google1,3/16/2020 10:30:36,Disagree,Disagree,Neutral,20,NR,NR,"No, my employer/school didn't provide an option to WFH",,,,,,Increased frequency of hand washing with soap,,"Made an effort to avoid touching my eyes, nose and mouth",,,,,,,,"Yes, due to their age (60+)",Female,NR,1994,NR,UK,Employed full-time,Caucasian,NR
Google1,3/16/2020 11:29:03,Neutral,Disagree,Strongly agree,12,NR,NR,"Yes, my employer/school made WFH mandatory",,,,"Rescheduled or canceled non-critical in-person gatherings and appointments (e.g. birthday parties, concerts, museums, annual checkups, spa, social dinners)",Rescheduled or canceled pre-arranged travel plans,Increased frequency of hand washing with soap,Cleaned surfaces with disinfecting wipes or sprays,"Made an effort to avoid touching my eyes, nose and mouth",Maintained 3 feet distance between myself and other people outside of my household,,Ate at a restaurant,,,,,"Yes, due to their age (60+)",Male,NR,1990,10003,USA,Employed full-time,Caucasian,NR
Google1,3/16/2020 11:34:25,Strongly disagree,Strongly disagree,Strongly agree,18,NR,NR,"Yes, my employer/school made WFH mandatory",,,,,,Increased frequency of hand washing with soap,Cleaned surfaces with disinfecting wipes or sprays,"Made an effort to avoid touching my eyes, nose and mouth",Maintained 3 feet distance between myself and other people outside of my household,Did not leave my home for non-critical needs,,,,,"Yes, due to existing medical conditions (Diabetes, heart disease, lung disease)",,Female,NR,1994,94550,USA,Employed full-time,Caucasian,NR
Google1,3/16/2020 12:02:04,Agree,Neutral,Agree,12,NR,NR,"Yes, my employer/school made WFH mandatory",,,Attended in-person gatherings outside of my household,"Rescheduled or canceled non-critical in-person gatherings and appointments (e.g. birthday parties, concerts, museums, annual checkups, spa, social dinners)",Rescheduled or canceled pre-arranged travel plans,Increased frequency of hand washing with soap,,"Made an effort to avoid touching my eyes, nose and mouth",Maintained 3 feet distance between myself and other people outside of my household,,Ate at a restaurant,No,,,,,Male,NR,1988,94122,USA,Employed full-time,Asian/Asian American,NR
Google1,3/16/2020 12:59:43,Strongly disagree,Strongly disagree,Strongly agree,50,NR,NR,"Yes, for other reasons",,,,"Rescheduled or canceled non-critical in-person gatherings and appointments (e.g. birthday parties, concerts, museums, annual checkups, spa, social dinners)",,Increased frequency of hand washing with soap,Cleaned surfaces with disinfecting wipes or sprays,"Made an effort to avoid touching my eyes, nose and mouth",Maintained 3 feet distance between myself and other people outside of my household,Did not leave my home for non-critical needs,,,,"Yes, they live in areas affected by COVID-19 (parts of the USA, China, Italy, Korea, etc)",,"Yes, due to their age (60+)",Male,NR,1989,94107,USA,Not employed,"Caucasian, Asian/Asian American",NR
Google1,3/16/2020 13:30:00,Neutral,Agree,Neutral,10,NR,NR,"Yes, my employer/school gave an option to WFH",,,Attended in-person gatherings outside of my household,"Rescheduled or canceled non-critical in-person gatherings and appointments (e.g. birthday parties, concerts, museums, annual checkups, spa, social dinners)",Rescheduled or canceled pre-arranged travel plans,Increased frequency of hand washing with soap,Cleaned surfaces with disinfecting wipes or sprays,"Made an effort to avoid touching my eyes, nose and mouth",Maintained 3 feet distance between myself and other people outside of my household,,Ate at a restaurant,,,,"Yes, due to existing medical conditions (Diabetes, heart disease, lung disease)","Yes, due to their age (60+)",Male,NR,1990,94301,USA,Employed full-time,Asian/Asian American,NR
Google1,3/16/2020 13:42:55,Disagree,Disagree,Agree,40,NR,NR,"Yes, my employer/school gave an option to WFH",,,,,,Increased frequency of hand washing with soap,Cleaned surfaces with disinfecting wipes or sprays,"Made an effort to avoid touching my eyes, nose and mouth",Maintained 3 feet distance between myself and other people outside of my household,,,,I don't know,,,,Male,NR,1988,22901,USA,Employed full-time,Caucasian,NR
Google1,3/16/2020 13:46:16,Strongly disagree,Agree,Agree,16,NR,NR,"Yes, for other reasons",,,,"Rescheduled or canceled non-critical in-person gatherings and appointments (e.g. birthday parties, concerts, museums, annual checkups, spa, social dinners)",Rescheduled or canceled pre-arranged travel plans,Increased frequency of hand washing with soap,Cleaned surfaces with disinfecting wipes or sprays,"Made an effort to avoid touching my eyes, nose and mouth",Maintained 3 feet distance between myself and other people outside of my household,Did not leave my home for non-critical needs,,,,,,"Yes, due to their age (60+)",Male,NR,1989,94117,USA,Not employed,Caucasian,NR
Google1,3/16/2020 13:46:43,Strongly disagree,Strongly disagree,Strongly agree,8,NR,NR,"Yes, my employer/school made WFH mandatory",,,,"Rescheduled or canceled non-critical in-person gatherings and appointments (e.g. birthday parties, concerts, museums, annual checkups, spa, social dinners)",Rescheduled or canceled pre-arranged travel plans,Increased frequency of hand washing with soap,Cleaned surfaces with disinfecting wipes or sprays,"Made an effort to avoid touching my eyes, nose and mouth",Maintained 3 feet distance between myself and other people outside of my household,Did not leave my home for non-critical needs,,,,"Yes, they live in areas affected by COVID-19 (parts of the USA, China, Italy, Korea, etc)",,"Yes, due to their age (60+)",Male,NR,1988,94610,USA,Employed full-time,Caucasian,NR
Google1,3/16/2020 13:46:52,Neutral,Agree,Strongly agree,20,NR,NR,"Yes, for other reasons",,,,"Rescheduled or canceled non-critical in-person gatherings and appointments (e.g. birthday parties, concerts, museums, annual checkups, spa, social dinners)",Rescheduled or canceled pre-arranged travel plans,Increased frequency of hand washing with soap,Cleaned surfaces with disinfecting wipes or sprays,"Made an effort to avoid touching my eyes, nose and mouth",Maintained 3 feet distance between myself and other people outside of my household,Did not leave my home for non-critical needs,,,,"Yes, they live in areas affected by COVID-19 (parts of the USA, China, Italy, Korea, etc)","Yes, due to existing medical conditions (Diabetes, heart disease, lung disease)","Yes, due to their age (60+)",Female,NR,1995,10013,USA,Self-employed,Asian/Asian American,NR
Google1,3/16/2020 13:50:23,Strongly disagree,Agree,Agree,12,NR,NR,"Yes, my employer/school gave an option to WFH",Shook hands with anyone outside of my household,,,,,Increased frequency of hand washing with soap,Cleaned surfaces with disinfecting wipes or sprays,"Made an effort to avoid touching my eyes, nose and mouth",,,,,,,,"Yes, due to their age (60+)",Male,NR,1976,98133,USA,Employed full-time,Caucasian,NR
Google1,3/16/2020 13:54:14,Strongly disagree,Strongly disagree,Strongly agree,10,NR,NR,"Yes, for other reasons",Shook hands with anyone outside of my household,,,"Rescheduled or canceled non-critical in-person gatherings and appointments (e.g. birthday parties, concerts, museums, annual checkups, spa, social dinners)",Rescheduled or canceled pre-arranged travel plans,Increased frequency of hand washing with soap,Cleaned surfaces with disinfecting wipes or sprays,"Made an effort to avoid touching my eyes, nose and mouth",Maintained 3 feet distance between myself and other people outside of my household,,,,,,,"Yes, due to their age (60+)",Male,NR,1985,95819,USA,Employed full-time,Caucasian,NR
Google1,3/16/2020 13:57:35,Disagree,Agree,Neutral,8,NR,NR,"Yes, my employer/school made WFH mandatory",,,,"Rescheduled or canceled non-critical in-person gatherings and appointments (e.g. birthday parties, concerts, museums, annual checkups, spa, social dinners)",Rescheduled or canceled pre-arranged travel plans,Increased frequency of hand washing with soap,Cleaned surfaces with disinfecting wipes or sprays,,Maintained 3 feet distance between myself and other people outside of my household,Did not leave my home for non-critical needs,,,,"Yes, they live in areas affected by COVID-19 (parts of the USA, China, Italy, Korea, etc)","Yes, due to existing medical conditions (Diabetes, heart disease, lung disease)","Yes, due to their age (60+)",Female,NR,1989,75230,USA,Employed full-time,Caucasian,NR
